,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.389,3.1188137531280518,8e-06,0.04434589800443459,5,,,,,,,,,
1,2.2714,2.5411388874053955,1.8e-05,0.08869179600886919,10,,,,,,,,,
2,1.9858,0.8134442567825317,2.8e-05,0.13303769401330376,15,,,,,,,,,
3,1.7539,0.7782743573188782,2.998542122917149e-05,0.17738359201773837,20,,,,,,,,,
4,1.6099,0.5247255563735962,2.9926243538175172e-05,0.22172949002217296,25,,,,,,,,,
5,,,,0.22172949002217296,25,1.570013403892517,73.268,10.55,2.648,,,,,
6,1.553,0.3942145109176636,2.9821735336128774e-05,0.2660753880266075,30,,,,,,,,,
7,1.4667,0.3442751467227936,2.9672214011007087e-05,0.31042128603104213,35,,,,,,,,,
8,1.4072,0.30605000257492065,2.947813365416023e-05,0.35476718403547675,40,,,,,,,,,
9,1.3768,0.25784581899642944,2.9240083681253192e-05,0.3991130820399113,45,,,,,,,,,
10,1.3527,0.2286984920501709,2.895878704222978e-05,0.4434589800443459,50,,,,,,,,,
11,,,,0.4434589800443459,50,1.340162754058838,70.9343,10.897,2.735,,,,,
12,1.33,0.22336359322071075,2.863509802573744e-05,0.4878048780487805,55,,,,,,,,,
13,1.3238,0.22106610238552094,2.826999966468069e-05,0.532150776053215,60,,,,,,,,,
14,1.3191,0.22471769154071808,2.7864600750782507e-05,0.5764966740576497,65,,,,,,,,,
15,1.2762,0.2283533662557602,2.74201324672203e-05,0.6208425720620843,70,,,,,,,,,
16,1.2897,0.21802794933319092,2.6937944649563078e-05,0.6651884700665188,75,,,,,,,,,
17,,,,0.6651884700665188,75,1.2782344818115234,70.4463,10.973,2.754,,,,,
18,1.2909,0.22231999039649963,2.641950168636517e-05,0.7095343680709535,80,,,,,,,,,
19,1.2427,0.22364887595176697,2.5866378071866338e-05,0.753880266075388,85,,,,,,,,,
20,1.2742,0.23126870393753052,2.52802536243045e-05,0.7982261640798226,90,,,,,,,,,
21,1.2394,0.23151546716690063,2.4662908384362964e-05,0.8425720620842572,95,,,,,,,,,
22,1.2621,0.23936620354652405,2.4016217209245377e-05,0.8869179600886918,100,,,,,,,,,
23,,,,0.8869179600886918,100,1.2446372509002686,70.6102,10.947,2.747,,,,,
24,1.2675,0.2437712848186493,2.3342144078796007e-05,0.9312638580931264,105,,,,,,,,,
25,1.2289,0.24614784121513367,2.2642736130957522e-05,0.975609756097561,110,,,,,,,,,
26,1.2317,0.2604915201663971,2.1920117444680317e-05,1.017738359201774,115,,,,,,,,,
27,1.2303,0.2434018850326538,2.1176482589164575e-05,1.0620842572062084,120,,,,,,,,,
28,1.2133,0.2525855004787445,2.0414089959025724e-05,1.106430155210643,125,,,,,,,,,
29,,,,1.106430155210643,125,1.223314642906189,70.2348,11.006,2.762,,,,,
